Time (ns)	Backbone RMSD (nm)
0.000000000000000000e+00	5.000999999999999586e-04
1.000000000000000056e-01	8.560669999999999391e-02
2.000000000000000111e-01	9.003060000000000229e-02
2.999999999999999889e-01	8.138629999999999476e-02
4.000000000000000222e-01	8.037880000000000025e-02
5.000000000000000000e-01	9.273829999999999574e-02
5.999999999999999778e-01	1.200716000000000006e-01
6.999999999999999556e-01	1.716177999999999870e-01
8.000000000000000444e-01	1.074847000000000025e-01
9.000000000000000222e-01	1.015791000000000055e-01
1.000000000000000000e+00	1.476911999999999947e-01
